LNR,RESPONSE
1754,0.015474628
1770,0.010152709
1465,0.010763569
1470,0.014535056
1478,0.00333528
1782,0.006749354
1485,0.013962226
1519,0.009522605
1835,0.005092251
1522,0.011633039
1539,0.01164636
1853,0.006849419
1856,0.005605861
2502,0.013466421
2182,0.012475492
2191,0.015064408
2522,0.011551207
2530,0.010815169
2215,0.010637611
2550,0.015373208
2570,0.012009238
2574,0.012038675
2579,0.032399848
2247,0.021850154
2674,0.004159407
11434,0.007263645
11122,0.016001549
11127,0.007194597
11443,0.020601919
11170,0.010923663
11191,0.009978983
11198,0.013123823
10936,0.010906548
11244,0.016416769
11247,0.009290595
11252,0.024067661
11259,0.010726141
10945,0.004682994
10951,0.02084474
11271,0.028179571
10963,0.024003828
11282,0.00816092
11291,0.004329969
10980,0.002952339
10994,0.005563362
10998,0.010923663
11303,0.006103457
11630,0.007159974
11636,0.010307747
11949,0.010792337
11950,0.010041032
11956,0.025625697
11648,0.010923663
11653,0.013310473
11967,0.005764322
11972,0.004889831
11975,0.007518028
12110,0.030697967
12113,0.009961093
11712,0.007055342
11716,0.010709332
12000,0.007735026
11722,0.006279756
12023,0.010923663
12046,0.02478391
11762,0.010726141
12071,0.008885969
12077,0.021750218
11785,0.013320428
11788,0.025837367
11790,0.005163774
11800,0.016866623
11806,0.010304201
11816,0.002605602
11505,0.0098443
11837,0.010072155
11531,0.01620819
11848,0.011047827
11854,0.004717038
11877,0.006655137
11563,0.011246425
11567,0.016324542
11894,0.007564024
11906,0.017339064
11917,0.010923663
11610,0.010923663
11923,0.006991142
12596,0.008244288
12603,0.009588606
12608,0.018319902
12633,0.010138253
12637,0.025329018
21484,0.010726141
21184,0.007912319
21247,0.016463819
20991,0.013636276
21018,0.010758134
21019,0.016854481
21047,0.0086532
21054,0.008745117
21374,0.012717922
21392,0.010459449
21713,0.008104083
22019,0.00666768
22025,0.017266605
21722,0.015216689
21728,0.011287246
22039,0.010923663
22044,0.032330217
61900,0.023142471
62548,0.016952407
63176,0.007109011
64473,0.021821051
64779,0.022621496
64780,0.016929694
64784,0.011825414
65105,0.010923663
65431,0.004711537
65433,0.01096236
66055,0.00466504
66071,0.010923663
61280,0.031032636
61281,0.003682918
61284,0.007833333
61597,0.007612421
61606,0.003852482
62235,0.014844726
62240,0.003195886
62241,0.001653645
62555,0.023206068
62557,0.009615726
62565,0.017174165
62566,0.010727337
63515,0.01362914
63524,0.015540825
64797,0.01972662
65116,0.010709332
75249,0.004896027
75253,0.019688359
75575,0.011107355
76212,0.004804089
71422,0.013878443
72059,0.002192631
72060,0.007426647
72383,0.006890977
72386,0.002193127
72700,0.012306629
72715,0.003457497
73028,0.014209526
73346,0.031306659
73658,0.01030695
73662,0.015548396
73666,0.014291804
73668,0.011831108
73985,0.020607145
74299,0.005810702
74310,0.005497196
74312,0.017510821
74619,0.013263422
74620,0.004730703
74627,0.006183592
74938,0.012170735
74952,0.006828389
75911,0.017380734
75913,0.009653502
76221,0.009514249
76227,0.021583204
71448,0.00495426
15887,0.006257098
15498,0.009050441
15504,0.02904631
15507,0.014728726
15521,0.013377057
24403,0.019068896
24100,0.013046579
24436,0.02192399
24440,0.00390951
24442,0.010906548
24148,0.017835437
24149,0.020050094
24155,0.016435018
24458,0.009033977
24169,0.008104004
24477,0.010601586
24479,0.007626272
24486,0.012309011
24190,0.006810932
24515,0.003916822
24214,0.012570047
25183,0.010923663
25207,0.003620534
24889,0.013757289
24890,0.009051486
25226,0.010831527
25232,0.012426083
25244,0.013636526
25339,0.021461072
25355,0.017707505
24958,0.00503016
25277,0.051210728
25286,0.01181777
24988,0.010923663
25298,0.017669192
25309,0.00975783
25315,0.003852276
25014,0.011107355
25322,0.005248433
25333,0.010121699
25025,0.01380425
24726,0.011650058
24735,0.010726141
25055,0.018449878
25056,0.009965134
24746,0.006642358
25061,0.006489167
25067,0.007272091
25074,0.013761915
24773,0.010571452
25080,0.010726141
25086,0.005118095
25088,0.018489787
24777,0.007477051
24796,0.017911635
25104,0.008320344
24806,0.006277436
25118,0.008675557
24822,0.011107355
82811,0.012094096
83449,0.006237551
83459,0.010726141
83770,0.010923663
84091,0.020516193
84096,0.017364449
84737,0.007398913
85048,0.010532152
85049,0.024139614
85051,0.014897392
85369,0.002875281
85374,0.01010005
85380,0.005576886
82190,0.015681956
82505,0.013060707
82515,0.006111686
82517,0.015109122
82821,0.013619614
83140,0.014018572
788,0.003330872
1102,0.005628093
1109,0.006398501
821,0.00849682
829,0.014909591
837,0.009618493
845,0.01521358
1163,0.011062133
861,0.010726141
899,0.009284281
1207,0.010568004
906,0.015816999
1221,0.027654076
1545,0.005932179
1546,0.008831059
1555,0.014145492
1556,0.011203902
1879,0.007983369
1885,0.003227649
1593,0.009450608
1902,0.02277782
1611,0.020993582
1921,0.003545485
1927,0.007563604
1651,0.01293859
1978,0.012694663
1718,0.00611433
1722,0.012577409
1734,0.000987976
41705,0.012711767
41711,0.010923663
41712,0.006034903
42029,0.013228051
42347,0.005644741
42352,0.011732352
42353,0.00496369
42671,0.005683664
42987,0.004647745
43310,0.007121657
43627,0.016473544
43629,0.027252449
43945,0.009866108
43953,0.006699544
43954,0.019613542
43961,0.018762327
44280,0.006620182
44917,0.01247412
44924,0.007654574
44927,0.026998916
45244,0.009803318
45570,0.005944299
45584,0.013809913
41721,0.014988647
41739,0.010923663
42054,0.010768832
42369,0.013609114
42689,0.005541397
43019,0.012320846
43331,0.00971878
51328,0.013977177
51644,0.013056227
51653,0.018327761
51969,0.018130687
52308,0.029490586
52310,0.014011487
52626,0.012145219
52638,0.004807919
52940,0.015506118
52954,0.018979253
55194,0.010221805
55196,0.01115259
55526,0.010923663
55847,0.016986707
55848,0.010906548
51024,0.010923663
51031,0.006743966
51342,0.01842325
51348,0.004652363
51666,0.024576943
51674,0.020495494
51680,0.038392962
52331,0.007684118
53302,0.010726141
82163,0.01151511
82481,0.009078839
82498,0.009942838
55852,0.010726141
55858,0.005753261
55859,0.008441819
51037,0.010726141
51039,0.007445405
51683,0.013169125
51685,0.02253317
51695,0.009611085
51702,0.01349871
52343,0.001888981
52353,0.010532152
53314,0.010923663
53322,0.008462287
53950,0.025979961
54597,0.024100548
54925,0.008515488
55245,0.023034382
55558,0.014469449
55882,0.00613931
51384,0.008258029
51703,0.038057515
51706,0.014832881
51711,0.012990053
52041,0.0049075
52047,0.032122063
52369,0.005612422
52689,0.011286135
53331,0.001615835
53341,0.004672552
63455,0.012260364
63780,0.003919915
63783,0.010726141
64096,0.004422283
64104,0.008687052
64109,0.012878508
64422,0.035431118
65391,0.010906548
65705,0.004033012
65709,0.004553443
61568,0.013211141
62203,0.011783774
62850,0.016746378
62851,0.013111881
63164,0.021148315
63491,0.004565481
63796,0.011762894
63799,0.009501348
63802,0.016110363
63812,0.012334337
64127,0.014015441
64449,0.013835433
64771,0.012961344
65082,0.010923663
65399,0.012397809
66039,0.010923663
